list,company,list_eng,list_km,list_lo,list_my,list_zh
แก้ปวด ลดอักเสบ,A,"Relieves pain, reduces inflammation",បំបាត់ការឈឺចាប់ កាត់បន្ថយការរលាក,"ບັນເທົາຄວາມເຈັບປວດ, ຫລຸດຜ່ອນການອັກເສບ",နာကျင်မှုကို သက်သာစေပြီး ရောင်ရမ်းမှုကို လျော့နည်းစေ,缓解疼痛，减少炎症
แก้ปวดฟัน,A,Relieve toothache,បំបាត់ការឈឺធ្មេញ,ບັນເທົາຄວາມເຈັບປວດແຂ້ວ,သွားကိုက်ခြင်းကို သက်သာစေ,缓解牙痛
แก้ปวดไมเกรน,A,Migraine pain relief,ការបំបាត់ការឈឺចាប់ migraine,ການບັນເທົາຄວາມເຈັບປວດ migraine,အာရုံကြော နာကျင် မှု သက်သာ စေ ခြင်း,偏头痛缓解
แก้ปวด คลายกล้ามเนื้อ,A,"Relieve pain, relax muscles.",បំបាត់ការឈឺចាប់ បន្ធូរសាច់ដុំ។,"ບັນເທົາຄວາມເຈັບປວດ, ຜ່ອນຄາຍກ້າມເນື້ອ.",နာကျင်မှုကို သက်သာစေပြီး ကြွက်သားများကို ဖြေလျှော့ပေးပါ။,缓解疼痛，放松肌肉。
บำรุงกระดูก,A,Bone Support,ការគាំទ្រឆ្អឹង,ການສະຫນັບສະຫນູນກະດູກ,အရိုးထောက်ပံ့မှု,骨骼支持
รักษาข้อกระดูกเสื่อม,A,Treatment of osteoarthritis,ការព្យាបាលជំងឺរលាកសន្លាក់ឆ្អឹង,ການປິ່ນປົວພະຍາດ osteoarthritis,ရိုးဆက်ရောင်ရမ်းနာကုသမှု,骨关节炎的治疗
รักษากรดไหลย้อน,A,Treatment of acid reflux,ការព្យាបាលការច្រាលទឹកអាស៊ីត,ການປິ່ນປົວພະຍາດໄຫຼຄືນຈາກກົດຄືນ,အက်ဆစ်ပြန်စီးခြင်းကို ကုသခြင်း,胃酸反流的治疗
ลดกรดในกระเพาะอาหาร,A,Reduces stomach acid.,កាត់បន្ថយអាស៊ីតក្រពះ។,ລົດຄວາມກົດດັນໃນທ້ອງ.,အစာအိမ်အက်ဆစ်ကို လျှော့ချပေးသည်။,减少胃酸。
บรรเทาอาการ จุกเสียด อาหารไม่ย่อย,A,Relieves colic symptoms Indigestion,បំបាត់រោគសញ្ញា colic ការមិនរំលាយអាហារ,ບັນເທົາອາການໂຄລິກ ອາຫານບໍ່ກິນ,ဝမ်းဗိုက်ရောဂါလက္ခဏာများကို သက်သာစေ အစာမချေခြင်း,缓解肠绞痛症状消化不良
ช่วยย่อยอาหาร,A,Helps digestion,ជួយរំលាយអាហារ,ຊ່ວຍການຍ່ອຍອາຫານ,အစာခြေကို ထောက်ကူ,有助于消化
