company,list,qty,unit,fullname,list_eng,list_km,list_lo,list_my,list_zh
A,ทาวันละ,2,ครั้ง,ทาวันละ 2 ครั้ง,Apply twice a day,លាបពីរដងក្នុងមួយថ្ងៃ,ສະຫມັກສອງຄັ້ງຕໍ່ມື້,တစ်နေ့နှစ်ကြိမ်လိမ်းပေးပါ။,每天使用两次
A,รับประทานครั้งละ,2-Jan,เม็ด,รับประทานครั้งละ 1-2 เม็ด,Take 1-2 tablets at a time.,លេប 1-2 គ្រាប់ក្នុងពេលតែមួយ។,ກິນເທື່ອລະ 1-2 ເມັດ.,တစ်ကြိမ်လျှင် 1-2 ပြားသောက်ပါ။,每次服用1-2片。
A,ทาวันละ,5,ครั้ง,ทาวันละ 5 ครั้ง,Apply 5 times a day,លាប 5 ដងក្នុងមួយថ្ងៃ,ສະຫມັກ 5 ເທື່ອຕໍ່ມື້,တစ်နေ့ ၅ ကြိမ် လိမ်းပေးပါ။,每天使用5次
A,หยอดครั้งละ,2-Jan,หยด,หยอดครั้งละ 1-2 หยด,Instill 1-2 drops at a time.,ចាក់ 1-2 ដំណក់ក្នុងពេលតែមួយ។,Instill 1-2 ຢອດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 1-2 drops ထပ်ထည့်ပါ။,每次滴入1-2滴。
A,หยอดครั้งละ,10-May,หยด,หยอดครั้งละ 5-10 หยด,Instill 5-10 drops at a time.,ចាក់ 5-10 ដំណក់ក្នុងពេលតែមួយ។,ເອົາ 5-10 ຢອດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 5-10 drops ရှိအောင်ပြုလုပ်ပါ။,每次滴入5-10滴。
A,ทาวันละ,4,ครั้ง,ทาวันละ 4 ครั้ง,Apply 4 times a day,លាប ៤ ដងក្នុងមួយថ្ងៃ,ສະຫມັກ 4 ເທື່ອຕໍ່ມື້,တစ်နေ့ ၄ ကြိမ် လိမ်းပေးပါ။,每天使用4次
A,รับประทานครั้งละ,4,เม็ด,รับประทานครั้งละ 4 เม็ด,Take 4 tablets at a time.,លេប 4 គ្រាប់ក្នុងពេលតែមួយ។,ກິນ 4 ເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 4 ပြားသောက်ပါ။,每次服用4片。
A,ทาวันละ,3,ครั้ง,ทาวันละ 3 ครั้ง,Apply 3 times a day,លាប 3 ដងក្នុងមួយថ្ងៃ,ໃຊ້ 3 ເທື່ອຕໍ່ມື້,တစ်နေ့ ၃ ကြိမ် လိမ်းပေးပါ။,每天涂抹3次
A,รับประทานครั้งละ,2,เม็ด,รับประทานครั้งละ 2 เม็ด,Take 2 tablets at a time.,លេប 2 គ្រាប់ក្នុងពេលតែមួយ។,ກິນ 2 ເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 2 ပြားသောက်ပါ။,每次服用2片。
A,รับประทานครั้งละ,2-Jan,ซอง,รับประทานครั้งละ 1-2 ซอง,Take 1-2 packets at a time.,យក 1-2 កញ្ចប់ក្នុងពេលតែមួយ។,ເອົາ 1-2 ຊອງຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 1-2 ထုပ်ယူပါ။,每次服用1-2包。
A,รับประทานครั้งละ,4-Feb,เม็ด,รับประทานครั้งละ 2-4 เม็ด,Take 2-4 tablets at a time.,លេប 2-4 គ្រាប់ក្នុងពេលតែមួយ។,ກິນ 2-4 ເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 2-4 ပြားသောက်ပါ။,每次服用2-4片。
A,รับประทานครั้งละ,2,ช้อนโต๊ะ,รับประทานครั้งละ 2 ช้อนโต๊ะ,Take 2 tablespoons at a time.,យក 2 ស្លាបព្រាបាយក្នុងពេលតែមួយ។,ເອົາ 2 ບ່ວງຕໍ່ເວລາ.,တစ်ကြိမ်လျှင် 2 ဇွန်းယူပါ။,每次服用2汤匙。
A,รับประทานครั้งละ,3,เม็ด,รับประทานครั้งละ 3 เม็ด,Take 3 tablets at a time.,លេប 3 គ្រាប់ក្នុងពេលតែមួយ។,ກິນ 3 ເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် ၃ ပြားသောက်ပါ။,每次服用3片。
A,พ่นเข้าจมูกข้างละ,3-Feb,ครั้ง,พ่นเข้าจมูกข้างละ 2-3 ครั้ง,Spray into each nostril 2-3 times.,បាញ់ចូលទៅក្នុងរន្ធច្រមុះនីមួយៗ 2-3 ដង។,ສີດເຂົ້າໄປໃນຮູດັງແຕ່ລະ 2-3 ເທື່ອ.,နှာခေါင်းပေါက်တစ်ခုစီကို 2-3 ကြိမ်ဖြန်းပေးပါ။,每个鼻孔喷2-3次。
